# ns-api geofeed (RFC 8805)
# generated_at: 2026-03-24T17:29:43.919Z
# columns: ip_prefix,alpha2code,region,city,postal_code
# note: postal_code is intentionally left blank
2606:5d01:5000::/48,US,US-IN,Greenfield,
2606:5d01:5001::/48,US,US-IN,Greenfield,
2606:5d01:500a::/48,US,US-IN,Greenfield,
2606:5d00:6800::/37,US,US-IN,Pendleton,
2606:5d00:8001::/48,US,US-IN,New Castle,
2606:5d00:8800::/37,US,US-IN,New Castle,
208.70.45.236/32,US,US-IN,Shelbyville,
2606:5d01:6000::/48,US,US-IN,Rushville,
2606:5d01:6001::/48,US,US-IN,Rushville,
2606:5d01:600a::/48,US,US-IN,Rushville,
2606:5d01:600b::/48,US,US-IN,Rushville,
2606:5d01:6800::/37,US,US-IN,Rushville,
208.70.46.12/32,US,US-IN,Pendleton,
2606:5d01:8000::/48,US,US-IN,Whiteland,
208.70.46.13/32,US,US-IN,Pendleton,
2606:5d01:9000::/48,US,US-IN,Pendleton,
2606:5d01:9001::/48,US,US-IN,Pendleton,
2606:5d01:a000::/40,US,US-IN,Rushville,
2606:5d01:c000::/48,US,US-IN,Bargersville,
208.70.46.14/32,US,US-IN,New Palestine,
2606:5d01:c001::/48,US,US-IN,Bargersville,
2606:5d01:c00a::/48,US,US-IN,Bargersville,
2606:5d01:d000::/48,US,US-IN,Greenfield,
2606:5d01:d00a::/48,US,US-IN,Greenfield,
2606:5d01:d00b::/48,US,US-IN,Greenfield,
2606:5d01:d00c::/48,US,US-IN,Greenfield,
2606:5d01:f000::/48,US,US-IN,Whiteland,
2606:5d01:f001::/48,US,US-IN,Whiteland,
2606:5d01:f00b::/48,US,US-IN,Whiteland,
208.70.45.249/32,US,US-IN,Greenfield,
2606:5d01:f00c::/48,US,US-IN,Whiteland,
2606:5d02::/48,US,US-IN,Greenfield,
208.70.46.5/32,US,US-IN,McCordsville,
2606:5d02:1::/48,US,US-IN,Greenfield,
2606:5d02:800::/37,US,US-IN,Greenfield,
2606:5d02:a::/48,US,US-IN,Greenfield,
208.70.45.252/32,US,US-IN,Greenfield,
2606:5d02:2000::/48,US,US-IN,New Palestine,
2606:5d02:2001::/48,US,US-IN,New Palestine,
